/


「版権♀VSエロガキの雑談部屋」の過去ログ

現在のルーム [/ChatRoom?room_id=401175]
過去ログ一覧 [/PastLogList?room_id=401175]



2024年12月09日 11時24分 ～ 2024年12月10日 07時01分 の過去ログ

過去ログでは上から下の方向に発言を表示しています
チャット文字色を有効

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが入室しました♪  (2024/12/9 11:24:49)

星 ◆> あ、復活した。   (2024/12/9 11:25:03)

エロガキ♂18hx> …うん（手渡されて苦笑いしながら）星さんと一度ゆっくりお話ししたくなりますね（笑）   (2024/12/9 11:25:12)

エロガキ♂18hx> あ、おかえりなさい   (2024/12/9 11:25:18)

星 ◆> ……？してるでしょ、今。   (2024/12/9 11:25:46)

エロガキ♂19b ◆> うわぁぁ！1度撲殺された！！復活！！二人ともおはよう！！星ちゃんは今日もかわいいね！！歌が最高だったよ！！   (2024/12/9 11:25:48)

エロガキ♂18hx> してる…でも、違う場所でゆっくりね～（にやにや）   (2024/12/9 11:26:32)

星 ◆> でしょ。（ふふん、ドヤ顔。お風呂のサービスカットと圧倒的声優の暴力！）   (2024/12/9 11:26:52)

エロガキ♂19b ◆> あまりにも良すぎて30分ぐらいリピートしてたのは内緒のお話～...   (2024/12/9 11:27:51)

星 ◆> 違う場所ね……。まあ、機会があったら相手してあげる。でも私は高いよ。   (2024/12/9 11:27:58)

星 ◆> ところでなんでバナナナ～はないの？……なくていいか。   (2024/12/9 11:28:23)

エロガキ♂18hx> 高いんだ？　クールなきれいな人だとそうなるのかぁ   (2024/12/9 11:28:35)

星 ◆> そうだね……上質なゴミを満タンで三つは積んでもらわないとかな。（真剣な顔で三本指を立てた、）   (2024/12/9 11:29:31)

エロガキ♂19b ◆> 星ちゃんはきほん勝負しないからねぇ～...あれ...この前大量にゴミ渡したような、、あれは普通のやつか   (2024/12/9 11:30:00)

星 ◆> あれはちゃんと部屋に置いてたのにいつの間にか片付けられてたんだよね……。   (2024/12/9 11:30:36)

エロガキ♂18hx> ぼくは清掃業者じゃねえ（笑）   (2024/12/9 11:30:41)

エロガキ♂19b ◆> それ絶対...なのかちゃんとパムに片付けられたでしょ....まぁいいや、また今度送っとくよ～！マイフレンド！！   (2024/12/9 11:33:27)

エロガキ♂18hx> あ、勝負のひとではなかったんですね（メモしておく）   (2024/12/9 11:34:04)

星 ◆> ……さてと、ちょっと早いけどお昼の用意してくるね。二人もちゃんと食べなよ、（ばいばい、と手をひらひら。）   (2024/12/9 11:34:08)

おしらせ> 星 ◆Mhy5pZ/rlkさんが退室しました。  (2024/12/9 11:34:14)

エロガキ♂19b ◆> おーつかれさまー！！   (2024/12/9 11:34:34)

エロガキ♂18hx> お疲れさまです～   (2024/12/9 11:34:36)

エロガキ♂19b ◆> 星ちゃんが勝負部屋気来るときはよっぽどのことがあったときだけだからねー、いまだに勝負してるところを見たことがない....   (2024/12/9 11:35:28)

エロガキ♂18hx> そうなんだ…覚えとこう   (2024/12/9 11:36:01)

エロガキ♂19b ◆> そのうち自然と覚えれるさ...俺は居すぎて、、ある程度の子のことは覚えてるだけだからねぇ～   (2024/12/9 11:37:03)

エロガキ♂18hx> 　   (2024/12/9 11:42:02)

エロガキ♂18hx> 来ちゃうときはかなり来ちゃいますからね～ここに限らず   (2024/12/9 11:42:30)

エロガキ♂19b ◆> 迷惑になら内程度に来るのがいいかも？いや、、俺来すぎてるしわんちゃん迷惑か？....やっぱいまのなし！！来たいときはどんどん来よう！   (2024/12/9 11:44:30)

エロガキ♂18hx> ですねー   (2024/12/9 11:45:19)

エロガキ♂18hx> ぼくも来れるときは来るようにしてます（笑）   (2024/12/9 11:46:29)

エロガキ♂19b ◆> 沢山遊んでいってね！！(ただの常連)   (2024/12/9 11:47:52)

エロガキ♂18hx> お相手が現れたらですが（笑）　こればかりはタイミングですしね   (2024/12/9 11:49:56)

エロガキ♂19b ◆> そうだねー！相手がいないとなにも始まらない！！...よし、、ちょっと俺は探しにいってみようねぇー！！見つかれば今日のお昼は捕まえた女の子にしよう、、んじゃ！いってくるぜー！！   (2024/12/9 11:51:32)

おしらせ> エロガキ♂19b ◆PSMnHTgeJoさんが退室しました。  (2024/12/9 11:51:34)

エロガキ♂18hx> お疲れさまです～   (2024/12/9 11:54:33)

エロガキ♂18hx> では、またきますねー   (2024/12/9 11:54:40)

おしらせ> エロガキ♂18hxさんが退室しました。  (2024/12/9 11:54:42)

